mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8vb	Ottava:8va	crescendo_line	diminuendo_line	decrescendo_hairpin	crescendo_hairpin	TextLine	TextLine_rall.
1	1	0	0	0.0	0	0	Dynamic	4/4	1	1	0						pp																
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0								<i>dolcissimo</i>														
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0								<i>una corda</i>														
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0									(𝅘𝅥𝅮=144)Trésdoux	72.0	1.0											
1	1	0	0	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	0							0										
1	1	1/4	1/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	1							0										
1	1	1/2	1/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	2							0										
1	1	3/4	3/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	3							0										
1	1	1	1	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	4							0										
1	1	5/4	5/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	5							0										
1	1	3/2	3/2	0.125	3/8	3/8	Chord	4/4	1	1	1/32			1/32	1	6							0										
1	1	13/8	13/8	0.125	13/32	13/32	Chord	4/4	1	1	1/32			1/32	1	7							0										
1	1	7/4	7/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32			1/32	1	8							0										
1	1	15/8	15/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32			1/32	1	9																	
1	1	2	2	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	10							1										
1	1	9/4	9/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	11							1										
1	1	5/2	5/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	12							1										
1	1	11/4	11/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	13							1										
1	1	3	3	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	14							1										
1	1	13/4	13/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	15							1										
1	1	7/2	7/2	0.125	7/8	7/8	Chord	4/4	1	1	1/32			1/32	1	16							1										
1	1	29/8	29/8	0.125	29/32	29/32	Chord	4/4	1	1	1/32			1/32	1	17							1										
1	1	15/4	15/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32			1/32	1	18							1										
1	1	31/8	31/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32			1/32	1	19																	
1	1	0	0	0.0	0	0	Spanner	4/4	2	1	0													0	0								
1	1	0	0	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	20								0	0								
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	21								0	0								
1	1	1	1	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	22								0	0								
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	23								0	0								
1	1	2	2	0.0	1/2	1/2	Spanner	4/4	2	1	0																						
1	1	2	2	0.0	1/2	1/2	Spanner	4/4	2	1	0													1	1								
1	1	2	2	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	24								1	1								
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	25								1	1								
1	1	3	3	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	26								1	1								
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	27								1	1								
2	2	4	4	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	28							2										
2	2	17/4	17/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	29							2										
2	2	9/2	9/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	30							2										
2	2	19/4	19/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	31							2										
2	2	5	5	0.0	1/4	1/4	Spanner	2/4	1	1	0												2				0						
2	2	5	5	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	32							2				0						
2	2	21/4	21/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	33							2				0						
2	2	11/2	11/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	34							2				0						
2	2	23/4	23/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	35											0						
2	2	4	4	0.0	0	0	Spanner	2/4	2	1	0																						
2	2	4	4	0.0	0	0	Spanner	2/4	2	1	0													2	2								
2	2	4	4	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	36								2	2								
2	2	9/2	9/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	37								2	2								
2	2	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	38								2	2								
2	2	11/2	11/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	39								2	2								
3	3	6	6	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	40							3				0						
3	3	25/4	25/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	41							3				0						
3	3	13/2	13/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	42							3				0						
3	3	27/4	27/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	43							3				0						
3	3	7	7	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	44							3				0						
3	3	29/4	29/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	45							3				0						
3	3	15/2	15/2	0.125	3/8	3/8	Chord	4/4	1	1	1/32			1/32	1	46							3				0						
3	3	61/8	61/8	0.125	13/32	13/32	Chord	4/4	1	1	1/32			1/32	1	47							3				0						
3	3	31/4	31/4	0.125	7/16	7/16	Chord	4/4	1	1	1/32			1/32	1	48							3				0						
3	3	63/8	63/8	0.125	15/32	15/32	Chord	4/4	1	1	1/32			1/32	1	49											0						
3	3	8	8	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	50							4				0						
3	3	33/4	33/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	51							4				0						
3	3	17/2	17/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	52							4				0						
3	3	35/4	35/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	53							4				0						
3	3	9	9	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	54							4				0						
3	3	37/4	37/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	55							4				0						
3	3	19/2	19/2	0.125	7/8	7/8	Chord	4/4	1	1	1/32			1/32	1	56							4				0						
3	3	77/8	77/8	0.125	29/32	29/32	Chord	4/4	1	1	1/32			1/32	1	57							4				0						
3	3	39/4	39/4	0.125	15/16	15/16	Chord	4/4	1	1	1/32			1/32	1	58							4				0						
3	3	79/8	79/8	0.125	31/32	31/32	Chord	4/4	1	1	1/32			1/32	1	59											0						
3	3	6	6	0.0	0	0	Spanner	4/4	2	1	0																						
3	3	6	6	0.0	0	0	Spanner	4/4	2	1	0													3	3								
3	3	6	6	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	60								3	3								
3	3	13/2	13/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	61								3	3								
3	3	7	7	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	62								3	3								
3	3	15/2	15/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	63								3	3								
3	3	8	8	0.0	1/2	1/2	Spanner	4/4	2	1	0																						
3	3	8	8	0.0	1/2	1/2	Spanner	4/4	2	1	0													4	4								
3	3	8	8	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	64								4	4								
3	3	17/2	17/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	65								4	4								
3	3	9	9	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	66								4	4								
3	3	19/2	19/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	67								4	4								
4	4	10	10	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	68							5				0						
4	4	41/4	41/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	69							5				0						
4	4	21/2	21/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	70							5				0						
4	4	43/4	43/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	71											0						
4	4	11	11	0.25	1/4	1/4	Chord	4/4	1	1	1/16			1/16	1	72							6				0						
4	4	45/4	45/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	73							6				0						
4	4	23/2	23/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	74							6				0						
4	4	47/4	47/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	75											0						
4	4	12	12	0.0	1/2	1/2	Spanner	4/4	1	1	0																						
4	4	12	12	0.125	1/2	1/2	Chord	4/4	1	1	1/32			1/32	1	76							7										
4	4	97/8	97/8	0.125	17/32	17/32	Chord	4/4	1	1	1/32			1/32	1	77							7										
4	4	49/4	49/4	0.125	9/16	9/16	Chord	4/4	1	1	1/32			1/32	1	78							7										
4	4	99/8	99/8	0.125	19/32	19/32	Chord	4/4	1	1	1/32			1/32	1	79							7										
4	4	25/2	25/2	0.125	5/8	5/8	Chord	4/4	1	1	1/32			1/32	1	80							7										
4	4	101/8	101/8	0.125	21/32	21/32	Chord	4/4	1	1	1/32			1/32	1	81							7										
4	4	51/4	51/4	0.125	11/16	11/16	Chord	4/4	1	1	1/32			1/32	1	82							7										
4	4	103/8	103/8	0.125	23/32	23/32	Chord	4/4	1	1	1/32			1/32	1	83																	
4	4	13	13	0.125	3/4	3/4	Chord	4/4	1	1	1/32			1/32	1	84							8										
4	4	105/8	105/8	0.125	25/32	25/32	Chord	4/4	1	1	1/32			1/32	1	85							8										
4	4	53/4	53/4	0.125	13/16	13/16	Chord	4/4	1	1	1/32			1/32	1	86							8										
4	4	107/8	107/8	0.125	27/32	27/32	Chord	4/4	1	1	1/32			1/32	1	87							8										
