mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.D.I(+b2)		D	I		I(+b2)	I			+b2			M	0	0	0, 4, 1	-5	0.0	0.0
1	1	5/8	i6(+#3)		D	I		i6(+#3)	i		6	+#3			m	0	0	-3, 1, 0	4	0.0	-3.0
2	2	0	I(+b2)		D	I		I(+b2)	I			+b2			M	0	0	0, 4, 1	-5	0.0	0.0
2	2	3/8	v(+#3)		D	I		v(+#3)	v			+#3			m	0	0	1, -2, 2	5	1.0	1.0
2	2	5/8	IV(+b2)	ii6(+#3)	D	I		IV(+b2)	IV			+b2			M	0	0	-1, 3, 0	-6	-1.0	-1.0
3	3	0	I(+b2)		D	I		I(+b2)	I			+b2			M	0	0	0, 4, 1	-5	0.0	0.0
3	3	5/8	i6(+#3)		D	I		i6(+#3)	i		6	+#3			m	0	0	-3, 1, 0	4	0.0	-3.0
4	4	0	I(+b2)		D	I		I(+b2)	I			+b2			M	0	0	0, 4, 1	-5	0.0	0.0
4	4	3/8	v(+#3)		D	I		v(+#3)	v			+#3			m	0	0	1, -2, 2	5	1.0	1.0
4	4	5/8	IV(+b2)	ii6(+#3)	D	I		IV(+b2)	IV			+b2			M	0	0	-1, 3, 0	-6	-1.0	-1.0
5	5	0	I(+b2)		D	I		I(+b2)	I			+b2			M	0	0	0, 4, 1	-5	0.0	0.0
6	6	0	V2(b5)		D	I		V2(b5)	V		2	b5			Mm7	0	0	-1, 1, 5, -5		1.0	-1.0
6	6	3/8	I(b5+b2)		D	I		I(b5+b2)	I			b5+b2			M	0	0	0, 4, -6	-5	0.0	0.0
7	7	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
8	8	0	V2(b5)		D	I		V2(b5)	V		2	b5			Mm7	0	0	-1, 1, 5, -5		1.0	-1.0
8	8	3/8	I(b5+b2)		D	I		I(b5+b2)	I			b5+b2			M	0	0	0, 4, -6	-5	0.0	0.0
9	9	0	I\\		D	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
12	12	0	.bVI.ii7(9)		D	I										0	0				
14	14	0	vi7(9)		D	I		vi7(9)	vi		7	9			mm7	0	0	3, 0, 4, 1	5	3.0	3.0
16	16	0	ii7(9)		D	I		ii7(9)	ii		7	9			mm7	0	0	2, -1, 3, 0	4	2.0	2.0
17	17	0	V7(+64)		D	I		V7(+64)	V		7	+64			Mm7	0	0	1, 0, 2, -1	4	1.0	1.0
17	17	1/4	vi(+6)		D	I		vi(+6)	vi			+6			m	0	0	3, 0, 4	-1	3.0	3.0
17	17	5/8	V7(94)		D	I		V7(94)	V		7	94			Mm7	0	0	1, 0, 2, -1	3	1.0	1.0
18	18	0	I[IM7		D	I	I	IM7	I	M	7				MM7	0	0	0, 4, 1, 5		0.0	0.0
19	19	1/8	IVM7		D	I	I	IVM7	IV	M	7				MM7	0	0	-1, 3, 0, 4		-1.0	-1.0
20	20	0	IM7		D	I	I	IM7	I	M	7				MM7	0	0	0, 4, 1, 5		0.0	0.0
21	21	1/8	IVM7		D	I	I	IVM7	IV	M	7				MM7	0	0	-1, 3, 0, 4		-1.0	-1.0
22	22	0	I]		D	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
22	22	5/8	.biii64		D	I										0	0				
23	23	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
23	23	3/8	V7(b5)		D	I		V7(b5)	V		7	b5			Mm7	0	0	1, 5, -5, -1		1.0	1.0
